시설명,시설구분,소재지도로명주소,소재지지번주소,위도,경도,전화번호,운영주체구분,관리기관,기준일
이레요양원,노인의료복지시설,"경기도 수원시 장안구 대평로 128, 4층 402호 (정자동)",경기도 수원시 장안구 정자동 335-4,37.29893193,126.9913169,031-268-8875,개인,수원시 어르신돌봄과,2025-04-11
명은전문요양센터,노인의료복지시설,"경기도 수원시 장안구 대평로 128, 206호 (정자동, 파크프라자)",경기도 수원시 장안구 정자동 335-4,37.29893193,126.9913169,031-242-1332,법인,수원시 어르신돌봄과,2025-04-11
수원YWCA요양원,노인의료복지시설,"경기도 수원시 장안구 정자천로134번길 34, 3층 (정자동)",경기도 수원시 장안구 정자동 889-2,37.29186568,126.9919454,031-252-5125,법인,수원시 어르신돌봄과,2025-04-11
수원새봄요양원,노인의료복지시설,경기도 수원시 장안구 수성로 308 (영화동),경기도 수원시 장안구 영화동 389-2,37.2912931,127.0059588,031-241-3600,개인,수원시 어르신돌봄과,2025-04-11
평강보훈요양센터,노인의료복지시설,경기도 수원시 장안구 경수대로1220번길 6-5 (파장동),경기도 수원시 장안구 파장동 89-2,37.32037584,126.9890879,031-271-1113,개인,수원시 어르신돌봄과,2025-04-11
효봉노인전문요양원,노인의료복지시설,경기도 수원시 장안구 만석로 219 (송죽동),경기도 수원시 장안구 송죽동 445-2,37.30578489,127.0016009,031-244-1002,개인,수원시 어르신돌봄과,2025-04-11
고운손요양원,노인의료복지시설,경기도 수원시 장안구 파장천로 45-18 (파장동),경기도 수원시 장안구 파장동 274,37.30995879,126.9960972,031-271-3800,개인,수원시 어르신돌봄과,2025-04-11
성심실버케어,노인의료복지시설,경기도 수원시 장안구 장안로478번길 51 (이목동),경기도 수원시 장안구 이목동 65-3,37.32114971,126.9747556,031-207-8877,개인,수원시 어르신돌봄과,2025-04-11
늘푸른요양원,노인의료복지시설,"경기도 수원시 장안구 송정로 96, 2,4층 (정자동, 벽산그랜드코아)",경기도 수원시 장안구 정자동 9-3,37.29527027,127.0077742,031-245-1114,개인,수원시 어르신돌봄과,2025-04-11
수원보훈요양원,노인의료복지시설,경기도 수원시 장안구 광교산로 95 (하광교동),경기도 수원시 장안구 하광교동 431-8,37.29830446,127.0258768,031-240-9006,법인,수원시 어르신돌봄과,2025-04-11
맘편한요양원,노인의료복지시설,"경기도 수원시 장안구 대평로 128, 202호 (정자동)",경기도 수원시 장안구 정자동 335-4,37.29893193,126.9913169,031-268-1338,개인,수원시 어르신돌봄과,2025-04-11
힘찬요양원,노인의료복지시설,경기도 수원시 장안구 경수대로1220번길 30-78 (파장동),경기도 수원시 장안구 파장동 19-4,37.32322293,126.9926416,031-271-1188,개인,수원시 어르신돌봄과,2025-04-11
사회복지법인 죽파재단 감천장요양원,노인의료복지시설,경기도 수원시 장안구 광교산로 22 (영화동),경기도 수원시 장안구 영화동 44-1,37.29327842,127.0211805,031-245-1078,법인,수원시 어르신돌봄과,2025-04-11
한누리노인요양공동생활가정,노인의료복지시설,경기도 수원시 장안구 수일로42번길 8 (파장동),경기도 수원시 장안구 파장동 305-18,37.31182482,126.9956412,031-269-3844,법인,수원시 어르신돌봄과,2025-04-11
보훈원 부설 전문요양센터,노인의료복지시설,경기도 수원시 장안구 광교산로 97 (하광교동),경기도 수원시 장안구 하광교동 440-45,37.29901002,127.0264877,031-250-1518,법인,수원시 어르신돌봄과,2025-04-11
흰돌노인전문요양원,노인의료복지시설,"경기도 수원시 장안구 조원로 86, 3,4,5층 (조원동)",경기도 수원시 장안구 조원동 734-24,37.30088117,127.0161471,031-257-0675,개인,수원시 어르신돌봄과,2025-04-11
행복나라노인전문요양센터 2동,노인의료복지시설,"경기도 수원시 장안구 정조로 1039, 3층 (송죽동)",경기도 수원시 장안구 송죽동 379-1,37.29875133,127.0063565,031-252-7729,법인,수원시 어르신돌봄과,2025-04-11
은혜요양원,노인의료복지시설,"경기도 수원시 장안구 파장로82번길 16, 2층 201호 (파장동, 동영빌딩)",경기도 수원시 장안구 파장동 580-12,37.30708585,126.9925769,031-253-7526,개인,수원시 어르신돌봄과,2025-04-11
장안요양원,노인의료복지시설,"경기도 수원시 장안구 영화로26번길 21, 302호 (영화동, 북문프라자)",경기도 수원시 장안구 영화동 356-1,37.29013963,127.010581,031-255-4499,개인,수원시 어르신돌봄과,2025-04-11
가나요양센터,노인의료복지시설,"경기도 수원시 장안구 서부로 2189, 5층 (율전동)",경기도 수원시 장안구 율전동 99-24,37.30365232,126.9726296,031-216-8810,개인,수원시 어르신돌봄과,2025-04-11
행복나라 노인전문요양센터,노인의료복지시설,"경기도 수원시 장안구 정조로 1039 (송죽동,3층)",경기도 수원시 장안구 송죽동 379-1,37.29875133,127.0063565,031-252-7729,법인,수원시 어르신돌봄과,2025-04-11
유당너싱홈,노인의료복지시설,경기도 수원시 장안구 수일로191번길 26(조원동),경기도 수원시 장안구 조원동 119-3,37.30964477,127.0112074,070-4825-7443,법인,수원시 어르신돌봄과,2025-04-11
행복한중앙요양원,노인의료복지시설,경기도 수원시 권선구 매송고색로 662 (고색동),경기도 수원시 권선구 고색동 406-20,37.24945197,126.9769483,031-295-9811,개인,수원시 어르신돌봄과,2025-04-11
포근한요양원,노인의료복지시설,"경기도 수원시 권선구 일월천로4번길 43-14, 3~4층 (구운동)",경기도 수원시 권선구 구운동 913-1,37.28301645,126.9744948,031-296-0472,개인,수원시 어르신돌봄과,2025-04-11
늘봄실버벨리,노인의료복지시설,경기도 수원시 권선구 세지로126번길 47-22 (권선동),경기도 수원시 권선구 권선동 945-1,37.26310352,127.0229346,031-226-0888,개인,수원시 어르신돌봄과,2025-04-11
수원연세실버벨리,노인의료복지시설,경기도 수원시 권선구 곡반정로 92 (곡반정동),경기도 수원시 권선구 곡반정동 298-1,37.23631633,127.0303516,031-235-6677,법인,수원시 어르신돌봄과,2025-04-11
풀문노블카운티,노인의료복지시설,경기도 수원시 권선구 덕영대로 1156 (세류동),경기도 수원시 권선구 세류동 1128-2,37.25036063,127.0169162,031-221-4018,개인,수원시 어르신돌봄과,2025-04-11
나나재활요양원,노인의료복지시설,경기도 수원시 권선구 상탑로 80-6 (서둔동),경기도 수원시 권선구 서둔동 180-1,37.271283,126.9800378,031-227-5577,개인,수원시 어르신돌봄과,2025-04-11
웃음꽃요양원,노인의료복지시설,경기도 수원시 권선구 서수원로37번길 6-1 (오목천동),경기도 수원시 권선구 오목천동 1183-5,37.23375,126.98085,031-295-1151,개인,수원시 어르신돌봄과,2025-04-11
민들레요양원2,노인의료복지시설,"경기도 수원시 권선구 당진로 20 (당수동, 304호.305호)",경기도 수원시 권선구 당수동 232-22,37.29084167,126.9408854,031-416-6667,개인,수원시 어르신돌봄과,2025-04-11
수원채움요양원,노인의료복지시설,경기도 수원시 권선구 경수대로 287 (세류동),경기도 수원시 권선구 세류동 1101-1,37.25281726,127.0196971,031-305-0060,개인,수원시 어르신돌봄과,2025-04-11
행복이음요양원,노인의료복지시설,"경기도 수원시 권선구 당진로 20, 204호 (당수동, 당수프라자)",경기도 수원시 권선구 당수동 232-22,37.29084167,126.9408854,031-502-0051,개인,수원시 어르신돌봄과,2025-04-11
고색요양원,노인의료복지시설,경기도 수원시 권선구 매송고색로804번길 49-61 (고색동),경기도 수원시 권선구 고색동 209-1,37.25181746,126.9932426,031-295-4044,개인,수원시 어르신돌봄과,2025-04-11
골든네스트케어원,노인의료복지시설,경기도 수원시 권선구 서수원로53번길 25-39 (오목천동),경기도 수원시 권선구 오목천동 746,37.23269715,126.9790337,031-292-8899,개인,수원시 어르신돌봄과,2025-04-11
사과나무요양원,노인의료복지시설,경기도 수원시 권선구 서수원로37번길 27 (오목천동),경기도 수원시 권선구 오목천동 780-20,37.23153,126.97998,031-293-8888,개인,수원시 어르신돌봄과,2025-04-11
감동요양원,노인의료복지시설,"경기도 수원시 권선구 매송고색로 755, 401호 (고색동, 중앙스포츠랜드)",경기도 수원시 권선구 고색동 27-1,37.25285368,126.9869567,031-295-5550,개인,수원시 어르신돌봄과,2025-04-11
뜰안에요양원,노인의료복지시설,경기도 수원시 권선구 서수원로37번길 29 (오목천동),경기도 수원시 권선구 오목천동 782-12,37.23177,126.97951,031-294-2220,개인,수원시 어르신돌봄과,2025-04-11
실버사랑요양원,노인의료복지시설,"경기도 수원시 권선구 금곡로118번길 10, 301호 (금곡동, 일담타워)",경기도 수원시 권선구 금곡동 1088-1,37.27345317,126.9429587,031-291-1333,개인,수원시 어르신돌봄과,2025-04-11
중앙요양원,노인의료복지시설,경기도 수원시 권선구 서수원로53번길 25-43 (오목천동),경기도 수원시 권선구 오목천동 1169,37.23172996,126.9790542,031-291-2166,법인,수원시 어르신돌봄과,2025-04-11
탑케어하우스,노인의료복지시설,경기도 수원시 권선구 서둔로167번길 52 (탑동),경기도 수원시 권선구 탑동 335,37.2678426,126.978774,031-891-9100,개인,수원시 어르신돌봄과,2025-04-11
수원중앙전문요양센터,노인의료복지시설,"경기도 수원시 권선구 권선로 654 (권선동,4층)",경기도 수원시 권선구 권선동 970-5,37.25997877,127.0225987,031-229-9432,법인,수원시 어르신돌봄과,2025-04-11
하나벨리요양원,노인의료복지시설,경기도 수원시 권선구 곡반정로 46-43 (곡반정동),경기도 수원시 권선구 곡반정동 348-1,37.23155605,127.0276057,031-224-4003,개인,수원시 어르신돌봄과,2025-04-11
라온힐요양원,노인의료복지시설,경기도 수원시 권선구 고색로 126 (고색동),경기도 수원시 권선구 고색동 112,37.25200082,126.9905568,031-295-0607,개인,수원시 어르신돌봄과,2025-04-11
새수원복지요양원,노인의료복지시설,"경기도 수원시 권선구 매송고색로503번길 85, 2층 (오목천동)",경기도 수원시 권선구 오목천동 1146,37.24641471,126.9566319,031-291-1995,개인,수원시 어르신돌봄과,2025-04-11
좋은인연요양센터,노인의료복지시설,경기도 수원시 권선구 곡선로49번길 40-2 (곡반정동),경기도 수원시 권선구 곡반정동 549-2,37.24044613,127.0309118,031-222-5858,개인,수원시 어르신돌봄과,2025-04-11
봄빛요양원,노인의료복지시설,경기도 수원시 권선구 정조로 522-2 (세류동),경기도 수원시 권선구 세류동 537-15,37.25580826,127.0116108,031-224-7576,개인,수원시 어르신돌봄과,2025-04-11
다사랑노인복지요양원,노인의료복지시설,경기도 수원시 권선구 노림로6번길 34 (호매실동),경기도 수원시 권선구 호매실동 415-6,37.26635665,126.9565255,031-296-2500,개인,수원시 어르신돌봄과,2025-04-11
섬김요양원,노인의료복지시설,"경기도 수원시 권선구 금곡로118번길 10, 2층 (금곡동, 일담타워)",경기도 수원시 권선구 금곡동 1088-1,37.27345317,126.9429587,031-292-1070,개인,수원시 어르신돌봄과,2025-04-11
새수원노인요양공동생활가정,노인의료복지시설,"경기도 수원시 권선구 매송고색로503번길 85, 1층 (오목천동)",경기도 수원시 권선구 오목천동 1146,37.24641471,126.9566319,031-291-1995,개인,수원시 어르신돌봄과,2025-04-11
온정요양원,노인의료복지시설,"경기도 수원시 권선구 세권로195번길 20-4, 5층 (권선동)",경기도 수원시 권선구 권선동 1048,37.25604536,127.0261022,031-221-5001,개인,수원시 어르신돌봄과,2025-04-11
탑동사랑노인요양공동생활가정,노인의료복지시설,"경기도 수원시 권선구 탑동로 68, 401호 (탑동)",경기도 수원시 권선구 탑동 757-1,37.27495479,126.9738571,031-294-3275,개인,수원시 어르신돌봄과,2025-04-11
가람실버요양원,노인의료복지시설,"경기도 수원시 권선구 세권로195번길 33, 4층 (권선동, SK프라자)",경기도 수원시 권선구 권선동 1053-7,37.25684937,127.026066,031-226-6090,개인,수원시 어르신돌봄과,2025-04-11
이웃동네요양원,노인의료복지시설,"경기도 수원시 권선구 세권로195번길 20-4, 4층 (권선동)",경기도 수원시 권선구 권선동 1048,37.25604536,127.0261022,031-235-6620,개인,수원시 어르신돌봄과,2025-04-11
우리동네요양원,노인의료복지시설,"경기도 수원시 권선구 세권로195번길 20-4, 4층 (권선동)",경기도 수원시 권선구 권선동 1048,37.25604536,127.0261022,070-4647-2441,개인,수원시 어르신돌봄과,2025-04-11
미소1요양원,노인의료복지시설,"경기도 수원시 권선구 탑동로3번길 13, 4층 (탑동)",경기도 수원시 권선구 탑동 835-4,37.26888877,126.9745131,031-304-3000,개인,수원시 어르신돌봄과,2025-04-11
미소요양원,노인의료복지시설,"경기도 수원시 권선구 탑동로3번길 13, 5층 (탑동)",경기도 수원시 권선구 탑동 835-4,37.26888877,126.9745131,031-304-3000,개인,수원시 어르신돌봄과,2025-04-11
수원열린요양원,노인의료복지시설,경기도 수원시 권선구 권선로 678 (권선동),경기도 수원시 권선구 권선동 1030-5,37.25933778,127.0252124,031-232-8580,개인,수원시 어르신돌봄과,2025-04-11
베데스다요양원,노인의료복지시설,경기도 수원시 권선구 서둔로251번길 16-5 (탑동),경기도 수원시 권선구 탑동 22-50,37.27405563,126.9777226,031-293-1450,개인,수원시 어르신돌봄과,2025-04-11
누림요양원,노인의료복지시설,"경기도 수원시 권선구 새터로29번길 33, 1층 (세류동)",경기도 수원시 권선구 세류동 660-2,37.25215802,127.0074288,031-238-2389,개인,수원시 어르신돌봄과,2025-04-11
수원산내들실버센터,노인의료복지시설,"경기도 수원시 팔달구 창룡대로 194, 2층 (우만동)",경기도 수원시 팔달구 우만동 300-2,37.29177733,127.0297804,031-248-7999,개인,수원시 어르신돌봄과,2025-04-11
새미래요양원,노인의료복지시설,경기도 수원시 팔달구 경수대로 579 (인계동),경기도 수원시 팔달구 인계동 952-4,37.27763671,127.0304125,031-267-0205,개인,수원시 어르신돌봄과,2025-04-11
미래노인요양원,노인의료복지시설,경기도 수원시 팔달구 경수대로 557 (인계동),경기도 수원시 팔달구 인계동 953-4,37.27575455,127.0296034,031-225-7824,개인,수원시 어르신돌봄과,2025-04-11
효사랑요양원,노인의료복지시설,"경기도 수원시 팔달구 권광로 211, 7층 (인계동, 동수원메디뷰)",경기도 수원시 팔달구 인계동 1037-3,37.26628013,127.0332508,031-237-3331,개인,수원시 어르신돌봄과,2025-04-11
행궁요양원,노인의료복지시설,경기도 수원시 팔달구 정조로 812 (팔달로1가),경기도 수원시 팔달구 팔달로1가 7-11,37.28056014,127.0168858,031-246-7755,개인,수원시 어르신돌봄과,2025-04-11
주식회사 수원시니어 행복한요양원,노인의료복지시설,"경기도 수원시 팔달구 인계로 126, 2, 7~9층 (인계동)",경기도 수원시 팔달구 인계동 1036-3,37.26714234,127.031261,031-222-0773,법인,수원시 어르신돌봄과,2025-04-11
화단길요양원,노인의료복지시설,"경기도 수원시 팔달구 중부대로 177 (우만동,송림빌딩 8층)",경기도 수원시 팔달구 우만동 445-5,37.27779487,127.0358078,031-302-7799,개인,수원시 어르신돌봄과,2025-04-11
하나재활요양원,노인의료복지시설,경기도 수원시 팔달구 화서문로72번길 33 (북수동),경기도 수원시 팔달구 북수동 281,37.28454643,127.0168589,031-245-2405,개인,수원시 어르신돌봄과,2025-04-11
수원 아노가 요양원,노인의료복지시설,경기도 수원시 팔달구 동말로38번길 4 (화서동),경기도 수원시 팔달구 화서동 184-18,37.27809942,126.998296,031-251-1122,개인,수원시 어르신돌봄과,2025-04-11
봄빛요양센터,노인의료복지시설,"경기도 수원시 팔달구 세지로267번길 14, 1~4층 (인계동)",경기도 수원시 팔달구 인계동 747-5,37.27478914,127.0228513,031-236-2288,개인,수원시 어르신돌봄과,2025-04-11
성루카노인전문요양센터,노인의료복지시설,경기도 수원시 팔달구 경수대로 568 (인계동),경기도 수원시 팔달구 인계동 942-5,37.27627151,127.0309112,031-236-7711,법인,수원시 어르신돌봄과,2025-04-11
로나요양원,노인의료복지시설,경기도 수원시 팔달구 효원로 185 (인계동),경기도 수원시 팔달구 인계동 1008-11,37.26430491,127.0223088,031-223-2330,개인,수원시 어르신돌봄과,2025-04-11
경기실버빌 메디케어센터,노인의료복지시설,"경기도 수원시 팔달구 중부대로128번길 49, 4층 (인계동)",경기도 수원시 팔달구 인계동 953-14,37.27596994,127.0294436,031-893-6588,개인,수원시 어르신돌봄과,2025-04-11
수원 상록수 재활 요양원,노인의료복지시설,"경기도 수원시 팔달구 중부대로128번길 49, 2층 (인계동)",경기도 수원시 팔달구 인계동 953-14,37.27596994,127.0294436,031-226-8090,개인,수원시 어르신돌봄과,2025-04-11
상록수 재활요양원,노인의료복지시설,"경기도 수원시 팔달구 중부대로128번길 49, 2층 (인계동)",경기도 수원시 팔달구 인계동 953-14,37.27596994,127.0294436,031-226-8093,개인,수원시 어르신돌봄과,2025-04-11
수원은빛요양원,노인의료복지시설,"경기도 수원시 팔달구 장안로 3 (화서동,3층)",경기도 수원시 팔달구 화서동 20-2,37.28542206,127.0069439,031-253-2880,개인,수원시 어르신돌봄과,2025-04-11
수원VIP실버케어,노인의료복지시설,경기도 수원시 팔달구 팔달로 24 (고등동),경기도 수원시 팔달구 고등동 235-4,37.27095327,127.0010847,031-254-5055,개인,수원시 어르신돌봄과,2025-04-11
센트럴시니어스요양원,노인의료복지시설,경기도 수원시 팔달구 중부대로125번길 4 (지동),경기도 수원시 팔달구 지동 483-15,37.27873,127.03218,031-258-9393,개인,수원시 어르신돌봄과,2025-04-11
매교예사랑실버케어,노인의료복지시설,경기도 수원시 팔달구 매산로116번길 40 (매교동),경기도 수원시 팔달구 매교동 77-69,37.26958493,127.0140799,031-233-9237,개인,수원시 어르신돌봄과,2025-04-11
동수원요양원,노인의료복지시설,"경기도 수원시 팔달구 중부대로 177, 9층, 2층 (우만동)",경기도 수원시 팔달구 우만동 445-5,37.27779487,127.0358078,031-8002-8588,개인,수원시 어르신돌봄과,2025-04-11
엄마집요양원,노인의료복지시설,"경기도 수원시 팔달구 중부대로 177, 5, 6층 (우만동, 송림빌딩)",경기도 수원시 팔달구 우만동 445-5,37.27779487,127.0358078,031-302-7777,개인,수원시 어르신돌봄과,2025-04-11
두손노인전문요양원,노인의료복지시설,경기도 수원시 팔달구 중부대로10번길 9 (구천동),경기도 수원시 팔달구 구천동 26,37.27462903,127.0175458,031-252-2225,법인,수원시 어르신돌봄과,2025-04-11
가인(嘉人)시니어케어빌,노인의료복지시설,"경기도 수원시 팔달구 팔달로 177, 3~4층 (화서동)",경기도 수원시 팔달구 화서동 32-14,37.2839123,127.0066449,031-257-2988,개인,수원시 어르신돌봄과,2025-04-11
사임당요양원,노인의료복지시설,"경기도 수원시 팔달구 덕영대로697번길 17, 6층 601호 (화서동, 그린프라자)",경기도 수원시 팔달구 화서동 644-6,37.2849386,126.9909599,031-248-2163,개인,수원시 어르신돌봄과,2025-04-11
삼성로 너싱케어,노인의료복지시설,경기도 수원시 영통구 삼성로 29 (신동),경기도 수원시 영통구 신동 503-59,37.24789695,127.0484306,031-213-6690,개인,수원시 어르신돌봄과,2025-04-11
굿모닝재활요양원,노인의료복지시설,경기도 수원시 영통구 신원로 179-19 (신동),경기도 수원시 영통구 신동 384-5,37.25222456,127.0582626,031-202-1138,개인,수원시 어르신돌봄과,2025-04-11
영통마더링요양원,노인의료복지시설,"경기도 수원시 영통구 반달로7번길 40, 8층 802~804호 (영통동, 평익칼라스위트)",경기도 수원시 영통구 영통동 998-1,37.2535354,127.0752076,031-895-6831,개인,수원시 어르신돌봄과,2025-04-11
재활플러스요양원,노인의료복지시설,"경기도 수원시 영통구 영통로 100, 3층 (망포동, 세호프라자)",경기도 수원시 영통구 망포동 532-1,37.23783084,127.0587714,031-205-2140,개인,수원시 어르신돌봄과,2025-04-11
신영통삼성 요양원,노인의료복지시설,"경기도 수원시 영통구 영통로 103, 202호 (망포동, 뉴엘지프라자)",경기도 수원시 영통구 망포동 570-5,37.23738964,127.0583121,031-206-9915,법인,수원시 어르신돌봄과,2025-04-11
스텔라실버요양원영통점,노인의료복지시설,경기도 수원시 영통구 영통로200번길 50 (망포동),경기도 수원시 영통구 망포동 345-1,37.24414448,127.0592687,031-203-8888,개인,수원시 어르신돌봄과,2025-04-11
현대노블카운티,노인의료복지시설,경기도 수원시 영통구 영통로 104 (망포동),경기도 수원시 영통구 망포동 534-4,37.23793154,127.0582898,031-206-2008,개인,수원시 어르신돌봄과,2025-04-11
씨앤더블유너싱홈,노인의료복지시설,경기도 수원시 영통구 매영로45번길 19 (매탄동),경기도 수원시 영통구 매탄동 199-3,37.27002836,127.0479931,031-217-8004,개인,수원시 어르신돌봄과,2025-04-11
영통종합요양센터,노인의료복지시설,"경기도 수원시 영통구 태장로 62, 3층 (망포동)",경기도 수원시 영통구 망포동 651-7,37.23896839,127.05309,031-204-7114,개인,수원시 어르신돌봄과,2025-04-11
효명재가복지센터,재가노인복지시설,"경기도 수원시 장안구 영화로 52, 1층 (영화동)",경기도 수원시 장안구 영화동 450-10,37.29148626,127.0079241,031-254-8400,개인,수원시 어르신돌봄과,2025-04-11
경기나눔복지센터,재가노인복지시설,"경기도 수원시 장안구 영화로 57, B동 101호 (영화동)",경기도 수원시 장안구 영화동 387-10,37.29155486,127.0073882,031-241-9192,개인,수원시 어르신돌봄과,2025-04-11
(주)미래통합재가센터,재가노인복지시설,"경기도 수원시 장안구 장안로 125, 2층 (정자동)",경기도 수원시 장안구 정자동 31-5,37.29466809,126.9996632,031-269-6707,법인,수원시 어르신돌봄과,2025-04-11
스마일시니어 푸른 재가방문요양센터,재가노인복지시설,"경기도 수원시 장안구 송원로 10, 2층 232호 (송죽동, 송죽프라자)",경기도 수원시 장안구 송죽동 395-1,37.2966516,127.0054811,031-241-3852,개인,수원시 어르신돌봄과,2025-04-11
사랑 방문요양 복지센터,재가노인복지시설,"경기도 수원시 장안구 정조로 1094-13, 202호 (송죽동)",경기도 수원시 장안구 송죽동 455-3,37.30319475,127.0028318,031-251-0836,개인,수원시 어르신돌봄과,2025-04-11
다온재활주간보호센터,재가노인복지시설,경기도 수원시 장안구 장안로30번길 4 (영화동),경기도 수원시 장안구 영화동 425-2,37.28758218,127.0059801,031-243-3004,개인,수원시 어르신돌봄과,2025-04-11
안심케어방문요양센터,재가노인복지시설,"경기도 수원시 장안구 수성로304번길 38, 101호 (영화동)",경기도 수원시 장안구 영화동 406-7,37.28978735,127.0065017,031-893-3000,개인,수원시 어르신돌봄과,2025-04-11
수원YWCA방문요양센터,재가노인복지시설,"경기도 수원시 장안구 정자천로134번길 34, 3층 (정자동)",경기도 수원시 장안구 정자동 889-2,37.29186568,126.9919454,031-252-5125,법인,수원시 어르신돌봄과,2025-04-11
(주)아주편한재가복지센터,재가노인복지시설,"경기도 수원시 장안구 경수대로 862 (조원동, 창경빌딩 201호)",경기도 수원시 장안구 조원동 774-3,37.29778908,127.0140307,031-257-8834,법인,수원시 어르신돌봄과,2025-04-11
수원중부 주간보호센터,재가노인복지시설,"경기도 수원시 장안구 경수대로 1030, 5층 (파장동)",경기도 수원시 장안구 파장동 627-9,37.3073354,126.9995894,031-252-4050,개인,수원시 어르신돌봄과,2025-04-11
더나은 재가 복지센터,재가노인복지시설,"경기도 수원시 장안구 장안로76번길 30, 1층 (정자동)",경기도 수원시 장안구 정자동 79-40,37.29182054,127.0045455,031-308-0777,개인,수원시 어르신돌봄과,2025-04-11
정성노인복지센터,재가노인복지시설,경기도 수원시 장안구 연무로13번길 45 (연무동),경기도 수원시 장안구 연무동 236-7,37.29421667,127.0269214,031-207-5736,개인,수원시 어르신돌봄과,2025-04-11
더좋은수원주간보호센터,재가노인복지시설,"경기도 수원시 장안구 경수대로 759 (연무동, 1층)",경기도 수원시 장안구 연무동 202-55,37.29074612,127.0212787,031-247-1005,개인,수원시 어르신돌봄과,2025-04-11
우리함께주간보호센터,재가노인복지시설,"경기도 수원시 장안구 수성로 323, 2~3층 (정자동)",경기도 수원시 장안구 정자동 81-15,37.29227786,127.0074027,031-202-6288,개인,수원시 어르신돌봄과,2025-04-11
수원누네주간보호센터,재가노인복지시설,경기도 수원시 장안구 정조로958번길 1 (영화동),경기도 수원시 장안구 영화동 300-22,37.29296061,127.0114989,031-243-7147,개인,수원시 어르신돌봄과,2025-04-11
청아통합돌봄케어센터,재가노인복지시설,"경기도 수원시 장안구 율전로80번길 1-1, 206호 (율전동)",경기도 수원시 장안구 율전동 409-14,37.29635055,126.9681796,031-890-2338,개인,수원시 어르신돌봄과,2025-04-11
효다함재가복지센터,재가노인복지시설,"경기도 수원시 장안구 장안로 64, 201호 (영화동)",경기도 수원시 장안구 영화동 393-7,37.29034548,127.003824,031-256-5359,개인,수원시 어르신돌봄과,2025-04-11
나눔재가복지센터,재가노인복지시설,"경기도 수원시 장안구 경수대로 890, 2층 (조원동)",경기도 수원시 장안구 조원동 762-16,37.29969832,127.0121076,0507-1419-0775,법인,수원시 어르신돌봄과,2025-04-11
한마음재가센터,재가노인복지시설,"경기도 수원시 장안구 연무로32번길 27, 1층 (연무동)",경기도 수원시 장안구 연무동 218-44,37.2956347,127.0285705,031-244-2226,개인,수원시 어르신돌봄과,2025-04-11
은혜방문요양센터,재가노인복지시설,"경기도 수원시 장안구 화산로 235, 305호 (율전동)",경기도 수원시 장안구 율전동 301-8,37.29948,126.97276,031-305-0111,개인,수원시 어르신돌봄과,2025-04-11
