시설명,소재지도로명주소,소재지지번주소,위도,경도,제공서비스,건축물용도,전화번호,관리기관명,관리부서전화번호,데이터기준일자
가람재가방문요양센터,경기도 파주시 새꽃로 35,경기도 파주시 금촌동 984,37.7538225511,126.7679868892,방문요양,근린생활시설,031-957-9957,경기도 파주시청,031-940-4415,2025-12-02
가야1리 경로당,경기도 파주시 법원읍 가좌울길 141,경기도 파주시 법원읍 가야리 144-5,37.8580125701,126.8594232869,노인여가활동,경로당,031-958-1059,경기도 파주시청,031-940-4404,2025-12-02
가야2리 경로당,경기도 파주시 법원읍 사임당로743번길 31-7,경기도 파주시 법원읍 가야리 171-4,37.8509975543,126.8628358823,노인여가활동,경로당,031-958-9634,경기도 파주시청,031-940-4404,2025-12-02
가야3리 경로당,경기도 파주시 법원읍 자운서원로9번길 21,경기도 파주시 법원읍 가야리 54-64,37.8505676855,126.869391355,노인여가활동,경로당,031-958-2221,경기도 파주시청,031-940-4404,2025-12-02
가야4리 경로당,경기도 파주시 법원읍 사임당로770번길 27,경기도 파주시 법원읍 가야리 380-26,37.8485428935,126.866744291,노인여가활동,경로당,031-958-0631,경기도 파주시청,031-940-4404,2025-12-02
가온재가복지센터,경기도 파주시 광탄면 부흥로 154,경기도 파주시 광탄면 방축리 70-2,37.8048267215,126.865467286,방문요양+방문목욕,단독주택,031-943-0703,경기도 파주시청,031-940-4415,2025-12-02
가원방문요양센터,경기도 파주시 문산읍 문산로26번길 14,경기도 파주시 문산읍 문산리 10-92,37.8567080566,126.7817630182,방문요양+방문목욕,근린생활시설,031-952-0051,경기도 파주시청,031-940-4415,2025-12-02
가월리 경로당,경기도 파주시 적성면 달빛길 81,경기도 파주시 적성면 가월리 116-4,37.9778537052,126.9164172096,노인여가활동,경로당,031-959-3586,경기도 파주시청,031-940-4404,2025-12-02
가월리 할머니 경로당,경기도 파주시 적성면 달빛길 81,경기도 파주시 적성면 가월리 116-4,37.9778537052,126.9164172096,노인여가활동,경로당,031-959-1230,경기도 파주시청,031-940-4404,2025-12-02
가정복지행복센터,경기도 파주시 한마음1길 38,경기도 파주시 금촌동 253-5,37.7569628138,126.771186507,방문요양+방문목욕,공동주택,031-949-3327,경기도 파주시청,031-940-4415,2025-12-02
가정복지행복요양원,경기도 파주시 한마음1길 38,경기도 파주시 금촌동 253-5,37.7569628138,126.771186507,노인요양공동생활가정,노유자시설,031-944-0086,경기도 파주시청,031-940-4477,2025-12-02
가족사랑노인복지센터,경기도 파주시 심학산로 384,경기도 파주시 동패동 1781,37.7172083875,126.7365623267,방문요양+방문목욕,근린생활시설,070-7136-2503,경기도 파주시청,031-940-4415,2025-12-02
가족사랑요양원,경기도 파주시 숲속노을로 265,경기도 파주시 문발동 562-2,37.72413165,126.7112235874,노인요양공동생활가정,노유자시설,031-948-3005,경기도 파주시청,031-940-4477,2025-12-02
갈곡리 경로당,경기도 파주시 법원읍 칡울길 11,경기도 파주시 법원읍 갈곡리 275-7,37.850842011,126.9046921584,노인여가활동,경로당,031-958-7085,경기도 파주시청,031-940-4404,2025-12-02
갈현1리 경로당,경기도 파주시 탄현면 평화로 589,경기도 파주시 탄현면 갈현리 322-40,37.7733661952,126.7193331149,노인여가활동,경로당,031-944-8932,경기도 파주시청,031-940-4404,2025-12-02
갈현2리 경로당,경기도 파주시 탄현면 장릉로49번길 88,경기도 파주시 탄현면 갈현리 418-2,37.7694850865,126.718035062,노인여가활동,경로당,031-945-1937,경기도 파주시청,031-940-4404,2025-12-02
갈현3리 경로당,경기도 파주시 탄현면 장릉로102번길 42,경기도 파주시 탄현면 갈현리 792-150,37.7687561979,126.7074235624,노인여가활동,경로당,031-945-6166,경기도 파주시청,031-940-4404,2025-12-02
객현1리 경로당,경기도 파주시 적성면 윗배우니길 194,경기도 파주시 적성면 객현리 207-7,37.9693481294,126.9519162668,노인여가활동,경로당,031-959-6116,경기도 파주시청,031-940-4404,2025-12-02
객현2리 경로당,경기도 파주시 적성면 선고개길 114-4,경기도 파주시 적성면 객현리 538-9,37.9721451203,126.9434975044,노인여가활동,경로당,031-958-8805,경기도 파주시청,031-940-4404,2025-12-02
거북마을,경기도 파주시 파주읍 약수골길 74,경기도 파주시 파주읍 연풍리 346-1,37.8237572742,126.8349318034,노인요양시설,노유자시설,031-953-4805,경기도 파주시청,031-940-4477,2025-12-02
걱정말아요 재가복지센터,경기도 파주시 청석로 272,경기도 파주시 동패동 1695-2,37.7261349544,126.7177713979,방문요양,근린생활시설,031-947-4457,경기도 파주시청,031-940-4415,2025-12-02
건강한 복지센터,경기도 파주시 문산읍 문산로 16,경기도 파주시 문산읍 문산리 44-22,37.8572922068,126.7810212039,주야간보호,노유자시설,031-952-8539,경기도 파주시청,031-940-4415,2025-12-02
건강한 복지용구,경기도 파주시 문산읍 문산로 16,경기도 파주시 문산읍 문산리 44-22,37.8572922068,126.7810212039,복지용구제공사업소,노유자시설,031-952-8539,경기도 파주시청,031-940-4415,2025-12-02
건강한 실버홈,경기도 파주시 문산읍 문산로 16,경기도 파주시 문산읍 문산리 44-22,37.8572922068,126.7810212039,노인요양공동생활가정,노유자시설,031-952-8539,경기도 파주시청,031-940-4477,2025-12-02
건일장미5차아파트 경로당,경기도 파주시 황골로 18,경기도 파주시 금촌동 228-1,37.7544617894,126.7701497803,노인여가활동,경로당,031-946-5366,경기도 파주시청,031-940-4404,2025-12-02
검산10통 경로당,경기도 파주시 검산로6번길 31,경기도 파주시 검산동 322,37.7765836441,126.7403694359,노인여가활동,경로당,031-944-7837,경기도 파주시청,031-940-4404,2025-12-02
검산11통 경로당,경기도 파주시 찬우물길 72,경기도 파주시 검산동 산 58-3,37.7875333371,126.7450539301,노인여가활동,경로당,031-945-5158,경기도 파주시청,031-940-4404,2025-12-02
검산9통 경로당,경기도 파주시 평화로342번길 42,경기도 파주시 검산동 267-3,37.7741334977,126.7454992628,노인여가활동,경로당,031-942-8733,경기도 파주시청,031-940-4404,2025-12-02
검산9통 할머니경로당,경기도 파주시 평화로342번길 42,경기도 파주시 검산동 267-3,37.7741334977,126.7454992628,노인여가활동,경로당,031-941-1170,경기도 파주시청,031-940-4404,2025-12-02
검전리 경로당,경기도 파주시 광탄면 검전말길 22,경기도 파주시 광탄면 방축리 386-16,37.8079278928,126.8480402368,노인여가활동,경로당,031-947-5998,경기도 파주시청,031-940-4404,2025-12-02
경기재가복지센터,경기도 파주시 조리읍 대원로 24,경기도 파주시 조리읍 대원리 215-3,37.7269198315,126.8191204961,방문요양+방문목욕,공동주택,031-935-6010,경기도 파주시청,031-940-4415,2025-12-02
경신아파트 경로당,경기도 파주시 정담길 123,경기도 파주시 금촌동 424-9,37.7703848389,126.7724919441,노인여가활동,경로당,031-939-0022,경기도 파주시청,031-940-4404,2025-12-02
경일재가노인복지센터,경기도 파주시 숲속노을로 299,경기도 파주시 문발동 547,37.7265930211,126.7092866919,방문요양,공동주택,,경기도 파주시청,031-940-4415,2025-12-02
고은요양원,경기도 파주시 청석로 262,경기도 파주시 동패동 1696-2,37.7251611154,126.7183064029,노인요양시설,노유자시설,031-942-5520,경기도 파주시청,031-940-4477,2025-12-02
고은재가복지센터,경기도 파주시 청석로 262,경기도 파주시 동패동 1696-2,37.7251611154,126.7183064029,방문요양,근린생활시설,031-942-5520,경기도 파주시청,031-940-4415,2025-12-02
광탄면통합경로당,경기도 파주시 광탄면 왕수물길 12,경기도 파주시 광탄면 신산리 376-8,37.7805446449,126.847063889,노인여가활동,경로당,031-947-1208,경기도 파주시청,031-940-4404,2025-12-02
교하1차월드메르디앙아파트 경로당,경기도 파주시 와석순환로 347,경기도 파주시 목동동 2-117,37.7251710815,126.7436381845,노인여가활동,경로당,031-946-7193,경기도 파주시청,031-940-4404,2025-12-02
교하1차현대아파트 경로당,경기도 파주시 미래로 535,경기도 파주시 목동동 2-110,37.7257097292,126.7505482858,노인여가활동,경로당,031-948-6177,경기도 파주시청,031-940-4404,2025-12-02
교하2차 월드메르디앙아파트 경로당,경기도 파주시 청암로 28,경기도 파주시 목동동 114-37,37.7306475821,126.7391436763,노인여가활동,경로당,031-946-8781,경기도 파주시청,031-940-4404,2025-12-02
교하2차현대아파트 경로당,경기도 파주시 와석순환로 307,경기도 파주시 목동동 101,37.7244961174,126.7392616673,노인여가활동,경로당,031-947-8814,경기도 파주시청,031-940-4404,2025-12-02
교하리 경로당,경기도 파주시 교하로 1414-5,경기도 파주시 교하동 851,37.7521351333,126.7480635233,노인여가활동,경로당,031-944-3874,경기도 파주시청,031-940-4404,2025-12-02
교하벽산아파트 경로당,경기도 파주시 동패로 117,경기도 파주시 동패동 200-1,37.7124212716,126.7396505689,노인여가활동,경로당,031-948-7044,경기도 파주시청,031-940-4404,2025-12-02
교하주공2단지 경로당,경기도 파주시 숲속노을로 297,경기도 파주시 문발동 547,37.7266613066,126.7089183349,노인여가활동,경로당,031-949-5920+031-949-0920,경기도 파주시청,031-940-4404,2025-12-02
교하참사랑요양원,경기도 파주시 청석로 260,경기도 파주시 동패동 1694-1,37.7251029959,126.7177384489,노인요양시설,노유자시설,031-949-8270,경기도 파주시청,031-940-4477,2025-12-02
교하효요양원,경기도 파주시 청석로 272,경기도 파주시 동패동 1695-2,37.7261349544,126.7177713979,노인요양시설,노유자시설,031-941-6913,경기도 파주시청,031-940-4477,2025-12-02
구암재활요양원,경기도 파주시 문산읍 문향로39번길 59,경기도 파주시 문산읍 문산리 36-20,37.8547745241,126.7826125269,노인요양시설,노유자시설,031-952-9300,경기도 파주시청,031-940-4477,2025-12-02
구읍1리 경로당,경기도 파주시 적성면 구읍로 108,경기도 파주시 적성면 구읍리 281-8,37.9752188627,126.932131763,노인여가활동,경로당,031-959-4722,경기도 파주시청,031-940-4404,2025-12-02
구읍2리 경로당,경기도 파주시 적성면 칠중5길 33,경기도 파주시 적성면 구읍리 637-3,37.9545555601,126.9225001671,노인여가활동,경로당,031-959-0210,경기도 파주시청,031-940-4404,2025-12-02
구읍2리 할머니 경로당,경기도 파주시 적성면 칠중7길 54,경기도 파주시 적성면 구읍리 662-9,37.9571031572,126.9193137343,노인여가활동,경로당,031-959-9818,경기도 파주시청,031-940-4404,2025-12-02
굿모닝재가복지센터,경기도 파주시 독암길 12,경기도 파주시 금릉동 199-128,37.7551188068,126.7829507454,방문요양,근린생활시설,031-941-8832,경기도 파주시청,031-940-4415,2025-12-02
굿케어방문요양센터,경기도 파주시 문산읍 우계로 491,경기도 파주시 문산읍 선유리 966-42,37.8594335322,126.7897925959,방문요양+방문목욕,공동주택,,경기도 파주시청,031-940-4415,2025-12-02
그린요양원,경기도 파주시 중앙로 193,경기도 파주시 금릉동 211-11,37.7544929923,126.7819723709,노인요양시설,노유자시설,031-941-8400,경기도 파주시청,031-940-4477,2025-12-02
금곡1리 경로당,경기도 파주시 법원읍 술이홀로1372번길 66,경기도 파주시 법원읍 금곡리 270-3,37.890365479,126.8812156131,노인여가활동,경로당,031-958-1163,경기도 파주시청,031-940-4404,2025-12-02
금곡2리 경로당,경기도 파주시 법원읍 술이홀로 1319,경기도 파주시 법원읍 금곡리 336-21,37.8851671893,126.8777732141,노인여가활동,경로당,031-958-6634,경기도 파주시청,031-940-4404,2025-12-02
금릉방문요양센터,경기도 파주시 금빛로 15,경기도 파주시 금촌동 986-5,37.7509344602,126.7666402787,방문요양+방문목욕,근린생활시설,031-947-9088,경기도 파주시청,031-940-4415,2025-12-02
금빛사랑채 어르신주야간보호센터,경기도 파주시 시청로 246,경기도 파주시 금촌동 422,37.771354878,126.7716857225,주야간보호,노유자시설,031-942-0741,경기도 파주시청,031-940-4415,2025-12-02
금빛인생요양원,경기도 파주시 조리읍 뇌조로 34-9,경기도 파주시 조리읍 뇌조리 190-15,37.7517362253844,126.807204827632,노인요양시설,노유자시설,031-945-2025,경기도 파주시청,031-940-4477,2025-12-02
금산2리 경로당,경기도 파주시 탄현면 새오리로540번길 32,경기도 파주시 탄현면 금산리 173-1,37.8111623919,126.7072247387,노인여가활동,경로당,031-944-2004,경기도 파주시청,031-940-4404,2025-12-02
금성(특별) 경로당,경기도 파주시 중앙로 160,경기도 파주시 금릉동 186-5,37.7561243304,126.7864779997,노인여가활동,경로당,031-945-2999,경기도 파주시청,031-940-4404,2025-12-02
금승리 경로당,경기도 파주시 탄현면 정승로 22,경기도 파주시 탄현면 금승리 162-8,37.8227279125,126.7461548064,노인여가활동,경로당,031-942-8978,경기도 파주시청,031-940-4404,2025-12-02
금촌 삼성요양원,경기도 파주시 한마음1길 26,경기도 파주시 금촌동 251-10,37.7565423628,126.7711088207,노인요양시설,노유자시설,031-948-5522,경기도 파주시청,031-940-4477,2025-12-02
금촌10통 동현아파트 경로당,경기도 파주시 중앙로 226,경기도 파주시 금촌동 781-2,37.7578419808,126.7802800765,노인여가활동,경로당,031-944-0954,경기도 파주시청,031-940-4404,2025-12-02
금촌13통 경로당,경기도 파주시 동산3길 35-10,경기도 파주시 금촌동 932-14,37.7602875097,126.768855395,노인여가활동,경로당,031-941-7813+031-941-7690,경기도 파주시청,031-940-4404,2025-12-02
금촌14통 경로당,경기도 파주시 아리랑고개길 44-1,경기도 파주시 금촌동 334-178,37.7629191153,126.7687988596,노인여가활동,경로당,031-949-3667,경기도 파주시청,031-940-4404,2025-12-02
금촌15통 경로당,경기도 파주시 동산2길 52-1,경기도 파주시 금촌동 944-6,37.7581087015,126.771858077,노인여가활동,경로당,031-944-0458,경기도 파주시청,031-940-4404,2025-12-02
금촌16통 경로당,경기도 파주시 시청로 245-12,경기도 파주시 금촌동 417-3,37.7707092737,126.7718385496,노인여가활동,경로당,031-941-4297,경기도 파주시청,031-940-4404,2025-12-02
금촌17통 경로당,경기도 파주시 마무리길 98,경기도 파주시 금촌동 52,37.7638374149,126.7759076196,노인여가활동,경로당,031-943-0460,경기도 파주시청,031-940-4404,2025-12-02
금촌17통(장안미래) 경로당,경기도 파주시 아동로 16,경기도 파주시 금촌동 51-49,37.7645034056,126.7765234548,노인여가활동,경로당,031-944-1646+031-944-7086,경기도 파주시청,031-940-4404,2025-12-02
금촌17통(현대타워) 경로당,경기도 파주시 중앙로 308,경기도 파주시 금촌동 52-39,37.7633869474,126.7756784821,노인여가활동,경로당,031-949-5254,경기도 파주시청,031-940-4404,2025-12-02
금촌1동 공원경로당,경기도 파주시 금정14길 16,경기도 파주시 금촌동 764-6,37.7598723287,126.775559157,노인여가활동,경로당,031-941-2427,경기도 파주시청,031-940-4404,2025-12-02
금촌2동 2통 경로당,경기도 파주시 쇠재1길 33-3,경기도 파주시 금릉동 443-8,37.7510224589,126.779543509,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
금촌2동주공(분양)아파트 경로당,경기도 파주시 한마음1길 25,경기도 파주시 금촌동 922,37.7561049868,126.7702509121,노인여가활동,경로당,031-945-3535,경기도 파주시청,031-940-4404,2025-12-02
금촌7통 경로당,경기도 파주시 시민회관길 16-5,경기도 파주시 금촌동 780-8,37.7586346402,126.7796957965,노인여가활동,경로당,031-941-8309,경기도 파주시청,031-940-4404,2025-12-02
금촌8통(금능주택) 경로당,경기도 파주시 독암길 35,경기도 파주시 금릉동 198-8,37.7565328424,126.7826902657,노인여가활동,경로당,031-944-4450,경기도 파주시청,031-940-4404,2025-12-02
금촌9통 경로당,경기도 파주시 황골로 61-1,경기도 파주시 금촌동 789-4,37.7555372582,126.7755656719,노인여가활동,경로당,031-945-4860,경기도 파주시청,031-940-4404,2025-12-02
금촌노인복지센터,경기도 파주시 가나무로 143,경기도 파주시 금릉동 211-5,37.754539695,126.7813091952,방문요양+방문목욕,근린생활시설,031-943-0053,경기도 파주시청,031-940-4415,2025-12-02
금촌시니어스요양원,경기도 파주시 새꽃로 62,경기도 파주시 금촌동 237-1,37.7555554566,126.7688983739,노인요양공동생활가정,노유자시설,031-948-1358,경기도 파주시청,031-940-4477,2025-12-02
금촌시니어스주야간보호센터,경기도 파주시 새꽃로 62,경기도 파주시 금촌동 237-1,37.7555554566,126.7688983739,주야간보호,노유자시설,031-948-1358,경기도 파주시청,031-940-4415,2025-12-02
금촌재활요양원,경기도 파주시 한마음2길 25,경기도 파주시 금촌동 251-5,37.7563647852,126.772179697,노인요양시설,노유자시설,031-947-3333,경기도 파주시청,031-940-4477,2025-12-02
금촌주야간보호센터,경기도 파주시 후곡로 19,경기도 파주시 금촌동 953-5,37.755745083,126.7739012362,방문요양+주야간보호,노유자시설,031-942-8879,경기도 파주시청,031-940-4415,2025-12-02
금촌중앙하이츠 경로당,경기도 파주시 후곡로 80,경기도 파주시 금촌동 997,37.750435663,126.7729952259,노인여가활동,경로당,031-939-7544,경기도 파주시청,031-940-4404,2025-12-02
금촌파주요양원,경기도 파주시 한마음2길 35,경기도 파주시 금촌동 255-4,37.7569266673,126.7722005564,노인요양시설,노유자시설,031-943-7363,경기도 파주시청,031-940-4477,2025-12-02
금촌행복한노인주간보호센터,경기도 파주시 한마음2길 25,경기도 파주시 금촌동 251-5,37.7563647852,126.772179697,주야간보호,노유자시설,031-941-4105,경기도 파주시청,031-940-4415,2025-12-02
금파1리 경로당,경기도 파주시 파평면 청송로 188,경기도 파주시 파평면 금파리 296-17,37.921358608,126.8398226036,노인여가활동,경로당,031-958-3023,경기도 파주시청,031-940-4404,2025-12-02
금파1리 할머니 경로당,경기도 파주시 파평면 청송로208번길 8-17,경기도 파주시 파평면 금파리 310-1,37.9233500082,126.8407899201,노인여가활동,경로당,031-959-0020,경기도 파주시청,031-940-4404,2025-12-02
금파2리 경로당,경기도 파주시 파평면 금마루4길 8,경기도 파주시 파평면 금파리 398-16,37.9303855441,126.8348457611,노인여가활동,경로당,031-958-3577,경기도 파주시청,031-940-4404,2025-12-02
기쁨가득 방문요양센터,경기도 파주시 문산읍 방촌로 1725,경기도 파주시 문산읍 당동리 888-7,37.8667664882,126.784729676,방문요양+방문목욕,근린생활시설,031-954-0991,경기도 파주시청,031-940-4415,2025-12-02
기쁨노인전문요양원,경기도 파주시 광탄면 보광로610번길 89,경기도 파주시 광탄면 영장리 179-1,37.7635713583,126.9078617805,노인요양시설,노유자시설,031-941-0376,경기도 파주시청,031-940-4477,2025-12-02
기쁨의집,경기도 파주시 광탄면 보광로610번길 89,경기도 파주시 광탄면 영장리 179-1,37.7635713583,126.9078617805,노인요양시설,노유자시설,031-946-1117,경기도 파주시청,031-940-4477,2025-12-02
기산1리 경로당,경기도 파주시 광탄면 기산로177번길 35,경기도 파주시 광탄면 기산리 502-14,37.776063066,126.9194392732,노인여가활동,경로당,031-946-9733+031-948-0134,경기도 파주시청,031-940-4404,2025-12-02
기산2리 경로당,경기도 파주시 광탄면 쇠장이길 204-27,경기도 파주시 광탄면 기산리 595,37.7833225152,126.911205629,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
꿀벌어르신센터,경기도 파주시 미래로 610,경기도 파주시 와동동 1303-1,37.7316560677,126.7514599144,주야간보호+주야간보호 내 치매전담 1실+주야간보호 내 치매전담 2실,노유자시설,031-944-3306,경기도 파주시청,031-940-4415,2025-12-02
나누미 실버홈,경기도 파주시 조리읍 능안로 37,경기도 파주시 조리읍 대원리 992-1,37.741723269,126.8024892395,노인요양공동생활가정,노유자시설,031-943-5729,경기도 파주시청,031-940-4477,2025-12-02
나눔재가파견센터,경기도 파주시 조리읍 소곡로 30,경기도 파주시 조리읍 봉일천리 301,37.74438249,126.8146477234,방문요양+방문목욕,근린생활시설,031-941-1693,경기도 파주시청,031-940-4415,2025-12-02
낙하리 경로당,경기도 파주시 탄현면 동오리길 143,경기도 파주시 탄현면 낙하리 221-6,37.8373860873,126.7379388399,노인여가활동,경로당,031-942-8612,경기도 파주시청,031-940-4404,2025-12-02
내포1리 경로당,경기도 파주시 문산읍 휴암로531번길 6,경기도 파주시 문산읍 내포리 255-13,37.8381995125,126.7773657692,노인여가활동,경로당,031-952-6244,경기도 파주시청,031-940-4404,2025-12-02
내포2리 경로당,경기도 파주시 문산읍 휴암로635번길 90,경기도 파주시 문산읍 내포리 228-3,37.8442298608,126.7756120894,노인여가활동,경로당,031-952-0166,경기도 파주시청,031-940-4404,2025-12-02
내포3리 경로당,경기도 파주시 문산읍 방촌로1450번길 18,경기도 파주시 문산읍 내포리 569,37.8482136252,126.7638313503,노인여가활동,경로당,031-953-1777,경기도 파주시청,031-940-4404,2025-12-02
내포4리 경로당,경기도 파주시 문산읍 문현말길 171,경기도 파주시 문산읍 내포리 355-4,37.8437579287,126.7685752387,노인여가활동,경로당,031-952-6231,경기도 파주시청,031-940-4404,2025-12-02
내포5리 경로당,경기도 파주시 문산읍 방촌로 1308-10,경기도 파주시 문산읍 내포리 850,37.8428749534,126.7538466403,노인여가활동,경로당,,경기도 파주시청,031-940-4404,2025-12-02
노블레스실버케어,경기도 파주시 조리읍 등원로 47-23,경기도 파주시 조리읍 등원리 249-5,37.7585854544598,126.805066983538,노인요양시설,노유자시설,031-949-9989,경기도 파주시청,031-940-4477,2025-12-02
노아실버센터,경기도 파주시 청석로 264,경기도 파주시 동패동 1696-1,37.725583713,126.7182867668,주야간보호,노유자시설,031-941-7420,경기도 파주시청,031-940-4415,2025-12-02
노을빛마을1단지 경로당,경기도 파주시 숲속노을로 298,경기도 파주시 문발동 546,37.7274875074,126.7092521144,노인여가활동,경로당,031-949-9433+070-8592-2390,경기도 파주시청,031-940-4404,2025-12-02
노인사랑재가복지센터,경기도 파주시 하우고개길 73,경기도 파주시 야당동 178-77,37.7101831454,126.7633209772,방문요양+방문목욕,근린생활시설,031-942-7808,경기도 파주시청,031-940-4415,2025-12-02
뇌조1리 경로당,경기도 파주시 조리읍 뇌조로171번길 36,경기도 파주시 조리읍 뇌조리 89-17,37.7553733274,126.8226931789,노인여가활동,경로당,031-943-6552,경기도 파주시청,031-940-4404,2025-12-02
뇌조2리 경로당,경기도 파주시 조리읍 전지미말길 36-12,경기도 파주시 조리읍 뇌조리 465-6,37.766600497,126.8194711749,노인여가활동,경로당,031-944-3055,경기도 파주시청,031-940-4404,2025-12-02
